source_type,platform,task_id,script_id,guardian_id,guardian_name,content_angle,utm_content,tracked_url,kpi_row_status,decision_stage,next_writeback,contact_email_match
profile,youtube_shorts,profile-youtube_shorts,,,,,youtube_shorts_bio,https://lovetypes.tw/start/?utm_source=youtube&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=youtube_shorts_bio,profile_link_only,collect_signal,Publish or backfill KPI first; do not pick a winning guardian from empty data.,Campaign content / 推廣內容 = youtube_shorts_bio
shorts,all,publish-lt-s12-claire-ask-help,lt-s12-claire-ask-help,claire,克萊兒,測驗入口,claire_ask_help,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=claire_ask_help,ready_for_backfill,collect_signal,Publish or backfill KPI first; do not pick a winning guardian from empty data.,Campaign content / 推廣內容 = claire_ask_help
shorts,all,publish-lt-s11-claire-promises,lt-s11-claire-promises,claire,克萊兒,守護者人格認同,claire_promises,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=claire_promises,ready_for_backfill,collect_signal,Publish or backfill KPI first; do not pick a winning guardian from empty data.,Campaign content / 推廣內容 = claire_promises
shorts,all,publish-lt-s10-claire-tired,lt-s10-claire-tired,claire,克萊兒,情感錯頻情境,claire_tired,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=claire_tired,ready_for_backfill,collect_signal,Publish or backfill KPI first; do not pick a winning guardian from empty data.,Campaign content / 推廣內容 = claire_tired
shorts,all,publish-lt-s15-dora-after-conflict,lt-s15-dora-after-conflict,dora,朵拉,測驗入口,dora_after_conflict,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=dora_after_conflict,ready_for_backfill,collect_signal,Publish or backfill KPI first; do not pick a winning guardian from empty data.,Campaign content / 推廣內容 = dora_after_conflict
shorts,all,publish-lt-s14-dora-consent,lt-s14-dora-consent,dora,朵拉,守護者人格認同,dora_consent,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=dora_consent,ready_for_backfill,collect_signal,Publish or backfill KPI first; do not pick a winning guardian from empty data.,Campaign content / 推廣內容 = dora_consent
shorts,all,publish-lt-s13-dora-distance,lt-s13-dora-distance,dora,朵拉,情感錯頻情境,dora_distance,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=dora_distance,ready_for_backfill,collect_signal,Publish or backfill KPI first; do not pick a winning guardian from empty data.,Campaign content / 推廣內容 = dora_distance
shorts,all,publish-lt-s02-iris-affirmation,lt-s02-iris-affirmation,iris,艾莉絲,守護者人格認同,iris_affirmation,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_affirmation,ready_for_backfill,collect_signal,Publish or backfill KPI first; do not pick a winning guardian from empty data.,Campaign content / 推廣內容 = iris_affirmation
shorts,all,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,艾莉絲,情感錯頻情境,iris_silence,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,ready_for_backfill,collect_signal,Publish or backfill KPI first; do not pick a winning guardian from empty data.,Campaign content / 推廣內容 = iris_silence
shorts,all,publish-lt-s03-iris-too-sensitive,lt-s03-iris-too-sensitive,iris,艾莉絲,測驗入口,iris_too_sensitive,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_too_sensitive,ready_for_backfill,collect_signal,Publish or backfill KPI first; do not pick a winning guardian from empty data.,Campaign content / 推廣內容 = iris_too_sensitive
shorts,all,publish-lt-s05-noah-cancel,lt-s05-noah-cancel,noah,諾雅,守護者人格認同,noah_cancel,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_cancel,ready_for_backfill,collect_signal,Publish or backfill KPI first; do not pick a winning guardian from empty data.,Campaign content / 推廣內容 = noah_cancel
shorts,all,publish-lt-s04-noah-phone,lt-s04-noah-phone,noah,諾雅,情感錯頻情境,noah_phone,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_phone,ready_for_backfill,collect_signal,Publish or backfill KPI first; do not pick a winning guardian from empty data.,Campaign content / 推廣內容 = noah_phone
shorts,all,publish-lt-s06-noah-quiet-time,lt-s06-noah-quiet-time,noah,諾雅,測驗入口,noah_quiet_time,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_quiet_time,ready_for_backfill,collect_signal,Publish or backfill KPI first; do not pick a winning guardian from empty data.,Campaign content / 推廣內容 = noah_quiet_time
shorts,all,publish-lt-s08-vivian-forgotten-date,lt-s08-vivian-forgotten-date,vivian,薇薇安,守護者人格認同,vivian_forgotten_date,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_forgotten_date,ready_for_backfill,collect_signal,Publish or backfill KPI first; do not pick a winning guardian from empty data.,Campaign content / 推廣內容 = vivian_forgotten_date
shorts,all,publish-lt-s07-vivian-remembered,lt-s07-vivian-remembered,vivian,薇薇安,情感錯頻情境,vivian_remembered,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_remembered,ready_for_backfill,collect_signal,Publish or backfill KPI first; do not pick a winning guardian from empty data.,Campaign content / 推廣內容 = vivian_remembered
shorts,all,publish-lt-s09-vivian-ritual,lt-s09-vivian-ritual,vivian,薇薇安,測驗入口,vivian_ritual,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_ritual,ready_for_backfill,collect_signal,Publish or backfill KPI first; do not pick a winning guardian from empty data.,Campaign content / 推廣內容 = vivian_ritual
