week,slot,task_id,date,platform,post_url,script_id,guardian_id,guardian_name,content_angle,utm_content,tracked_url,views,likes,comments,shares,profile_clicks,site_clicks,quiz_starts,quiz_completions,guardian_result_clicks,resources_clicks,repair_plan_clicks,luna_clicks,keepsake_clicks,free_keepsake_downloads,supply_lead_requests,luna_pack_clicks,affiliate_book_clicks,contact_requests,notes
1,1,publish-lt-s01-iris-silence,2026-06-21,youtube_shorts,https://www.youtube.com/watch?v=uj9ZwYIKDrE,lt-s01-iris-silence,iris,艾莉絲,情感錯頻情境,iris_silence,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,13,,,,,,,,,,,,,,,,,,第一支先測「沉默/已讀」痛點 | verified:2026-06-21 script rollup from 1 platform post(s)
1,2,publish-lt-s02-iris-affirmation,,,,lt-s02-iris-affirmation,iris,艾莉絲,守護者人格認同,iris_affirmation,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_affirmation,,,,,,,,,,,,,,,,,,,留言引導收集想被聽見的句子
1,3,publish-lt-s03-iris-too-sensitive,,,,lt-s03-iris-too-sensitive,iris,艾莉絲,測驗入口,iris_too_sensitive,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_too_sensitive,,,,,,,,,,,,,,,,,,,導向肯定言詞測驗動機
2,1,publish-lt-s04-noah-phone,,,,lt-s04-noah-phone,noah,諾雅,情感錯頻情境,noah_phone,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_phone,,,,,,,,,,,,,,,,,,,測試約會分心共鳴
2,2,publish-lt-s05-noah-cancel,,,,lt-s05-noah-cancel,noah,諾雅,守護者人格認同,noah_cancel,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_cancel,,,,,,,,,,,,,,,,,,,適合遠距/忙碌受眾
2,3,publish-lt-s06-noah-quiet-time,,,,lt-s06-noah-quiet-time,noah,諾雅,測驗入口,noah_quiet_time,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_quiet_time,,,,,,,,,,,,,,,,,,,強化 15 分鐘陪伴概念
3,1,publish-lt-s07-vivian-remembered,,,,lt-s07-vivian-remembered,vivian,薇薇安,情感錯頻情境,vivian_remembered,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_remembered,,,,,,,,,,,,,,,,,,,釐清禮物不等於物質
3,2,publish-lt-s08-vivian-forgotten-date,,,,lt-s08-vivian-forgotten-date,vivian,薇薇安,守護者人格認同,vivian_forgotten_date,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_forgotten_date,,,,,,,,,,,,,,,,,,,節日/紀念日題材可配合日期
3,3,publish-lt-s09-vivian-ritual,,,,lt-s09-vivian-ritual,vivian,薇薇安,測驗入口,vivian_ritual,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_ritual,,,,,,,,,,,,,,,,,,,引導留言心意收藏
4,1,publish-lt-s10-claire-tired,,,,lt-s10-claire-tired,claire,克萊兒,情感錯頻情境,claire_tired,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=claire_tired,,,,,,,,,,,,,,,,,,,照顧者疲憊痛點
4,2,publish-lt-s11-claire-promises,,,,lt-s11-claire-promises,claire,克萊兒,守護者人格認同,claire_promises,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=claire_promises,,,,,,,,,,,,,,,,,,,承諾落空題材
4,3,publish-lt-s12-claire-ask-help,,,,lt-s12-claire-ask-help,claire,克萊兒,測驗入口,claire_ask_help,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=claire_ask_help,,,,,,,,,,,,,,,,,,,過度懂事/求助困難
5,1,publish-lt-s13-dora-distance,,,,lt-s13-dora-distance,dora,朵拉,情感錯頻情境,dora_distance,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=dora_distance,,,,,,,,,,,,,,,,,,,距離與擁抱需求
5,2,publish-lt-s14-dora-consent,,,,lt-s14-dora-consent,dora,朵拉,守護者人格認同,dora_consent,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=dora_consent,,,,,,,,,,,,,,,,,,,強化同意與界線
5,3,publish-lt-s15-dora-after-conflict,,,,lt-s15-dora-after-conflict,dora,朵拉,測驗入口,dora_after_conflict,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=dora_after_conflict,,,,,,,,,,,,,,,,,,,衝突後冷卻與重新靠近
