request_id,date,source,utm_content,contact_campaign_content,guardian_id,guardian_name,intake_type,requested_asset,related_route,kpi_writeback_field,kpi_writeback_rule,email_status,consent_status,priority,status,first_response,next_action,follow_up_deadline,fulfillment_asset,notes
template-iris-owned_asset_request,,contact_or_waitlist,,"Copy from Contact email Campaign content / 推廣內容. Valid examples: iris_affirmation, iris_silence, iris_too_sensitive",iris,艾莉絲,owned_asset_request,guardian PDF / wallpaper / short ritual,https://lovetypes.tw/keepsakes/#keepsake-iris,supply_lead_requests,"If utm_content matches attribution-reconciliation.csv, increment this field on the matching kpi-tracker.csv row; otherwise record as manual lead and do not choose a winning script.",not_received,not_applicable_until_user_contacts,medium,template,確認想收到的守護者素材，回覆預計製作方向與安全邊界。,累積同守護者重複需求後，排進 asset-build-backlog 的 build_owned_asset。,,,No user data. Replace this template row only after a real request arrives.
template-iris-luna_scene_request,,contact_or_waitlist,,"Copy from Contact email Campaign content / 推廣內容. Valid examples: iris_affirmation, iris_silence, iris_too_sensitive",iris,艾莉絲,luna_scene_request,Luna bedtime / conflict cooldown / quiz aftercare pack,https://lovetypes.tw/luna-yoga-music/#luna-iris,luna_pack_clicks,"If utm_content matches attribution-reconciliation.csv, increment this field on the matching kpi-tracker.csv row; otherwise record as manual lead and do not choose a winning script.",not_received,not_applicable_until_user_contacts,medium,template,確認使用情境，不承諾療效，只提供夜間整理或冷卻素材方向。,若同守護者 Luna 需求重複，才測試結果後柔性商品承接。,,,No user data. Replace this template row only after a real request arrives.
template-iris-repair_or_contact_request,,contact_or_waitlist,,"Copy from Contact email Campaign content / 推廣內容. Valid examples: iris_affirmation, iris_silence, iris_too_sensitive",iris,艾莉絲,repair_or_contact_request,relationship repair prompt / supply route guidance,https://lovetypes.tw/contact/#luna-supply-request,contact_requests,"If utm_content matches attribution-reconciliation.csv, increment this field on the matching kpi-tracker.csv row; otherwise record as manual lead and do not choose a winning script.",not_received,not_applicable_until_user_contacts,high,template,回覆可提供的網站路線與自助素材，不收集敏感個資，不取代諮商。,整理成 FAQ、修復計畫或 Contact 模板，不把個案內容公開。,,,No user data. Replace this template row only after a real request arrives.
template-noah-owned_asset_request,,contact_or_waitlist,,"Copy from Contact email Campaign content / 推廣內容. Valid examples: noah_cancel, noah_phone, noah_quiet_time",noah,諾雅,owned_asset_request,guardian PDF / wallpaper / short ritual,https://lovetypes.tw/keepsakes/#keepsake-noah,supply_lead_requests,"If utm_content matches attribution-reconciliation.csv, increment this field on the matching kpi-tracker.csv row; otherwise record as manual lead and do not choose a winning script.",not_received,not_applicable_until_user_contacts,medium,template,確認想收到的守護者素材，回覆預計製作方向與安全邊界。,累積同守護者重複需求後，排進 asset-build-backlog 的 build_owned_asset。,,,No user data. Replace this template row only after a real request arrives.
template-noah-luna_scene_request,,contact_or_waitlist,,"Copy from Contact email Campaign content / 推廣內容. Valid examples: noah_cancel, noah_phone, noah_quiet_time",noah,諾雅,luna_scene_request,Luna bedtime / conflict cooldown / quiz aftercare pack,https://lovetypes.tw/luna-yoga-music/#luna-noah,luna_pack_clicks,"If utm_content matches attribution-reconciliation.csv, increment this field on the matching kpi-tracker.csv row; otherwise record as manual lead and do not choose a winning script.",not_received,not_applicable_until_user_contacts,medium,template,確認使用情境，不承諾療效，只提供夜間整理或冷卻素材方向。,若同守護者 Luna 需求重複，才測試結果後柔性商品承接。,,,No user data. Replace this template row only after a real request arrives.
template-noah-repair_or_contact_request,,contact_or_waitlist,,"Copy from Contact email Campaign content / 推廣內容. Valid examples: noah_cancel, noah_phone, noah_quiet_time",noah,諾雅,repair_or_contact_request,relationship repair prompt / supply route guidance,https://lovetypes.tw/contact/#luna-supply-request,contact_requests,"If utm_content matches attribution-reconciliation.csv, increment this field on the matching kpi-tracker.csv row; otherwise record as manual lead and do not choose a winning script.",not_received,not_applicable_until_user_contacts,high,template,回覆可提供的網站路線與自助素材，不收集敏感個資，不取代諮商。,整理成 FAQ、修復計畫或 Contact 模板，不把個案內容公開。,,,No user data. Replace this template row only after a real request arrives.
template-vivian-owned_asset_request,,contact_or_waitlist,,"Copy from Contact email Campaign content / 推廣內容. Valid examples: vivian_forgotten_date, vivian_remembered, vivian_ritual",vivian,薇薇安,owned_asset_request,guardian PDF / wallpaper / short ritual,https://lovetypes.tw/keepsakes/#keepsake-vivian,supply_lead_requests,"If utm_content matches attribution-reconciliation.csv, increment this field on the matching kpi-tracker.csv row; otherwise record as manual lead and do not choose a winning script.",not_received,not_applicable_until_user_contacts,medium,template,確認想收到的守護者素材，回覆預計製作方向與安全邊界。,累積同守護者重複需求後，排進 asset-build-backlog 的 build_owned_asset。,,,No user data. Replace this template row only after a real request arrives.
template-vivian-luna_scene_request,,contact_or_waitlist,,"Copy from Contact email Campaign content / 推廣內容. Valid examples: vivian_forgotten_date, vivian_remembered, vivian_ritual",vivian,薇薇安,luna_scene_request,Luna bedtime / conflict cooldown / quiz aftercare pack,https://lovetypes.tw/luna-yoga-music/#luna-vivian,luna_pack_clicks,"If utm_content matches attribution-reconciliation.csv, increment this field on the matching kpi-tracker.csv row; otherwise record as manual lead and do not choose a winning script.",not_received,not_applicable_until_user_contacts,medium,template,確認使用情境，不承諾療效，只提供夜間整理或冷卻素材方向。,若同守護者 Luna 需求重複，才測試結果後柔性商品承接。,,,No user data. Replace this template row only after a real request arrives.
template-vivian-repair_or_contact_request,,contact_or_waitlist,,"Copy from Contact email Campaign content / 推廣內容. Valid examples: vivian_forgotten_date, vivian_remembered, vivian_ritual",vivian,薇薇安,repair_or_contact_request,relationship repair prompt / supply route guidance,https://lovetypes.tw/contact/#luna-supply-request,contact_requests,"If utm_content matches attribution-reconciliation.csv, increment this field on the matching kpi-tracker.csv row; otherwise record as manual lead and do not choose a winning script.",not_received,not_applicable_until_user_contacts,high,template,回覆可提供的網站路線與自助素材，不收集敏感個資，不取代諮商。,整理成 FAQ、修復計畫或 Contact 模板，不把個案內容公開。,,,No user data. Replace this template row only after a real request arrives.
template-claire-owned_asset_request,,contact_or_waitlist,,"Copy from Contact email Campaign content / 推廣內容. Valid examples: claire_ask_help, claire_promises, claire_tired",claire,克萊兒,owned_asset_request,guardian PDF / wallpaper / short ritual,https://lovetypes.tw/keepsakes/#keepsake-claire,supply_lead_requests,"If utm_content matches attribution-reconciliation.csv, increment this field on the matching kpi-tracker.csv row; otherwise record as manual lead and do not choose a winning script.",not_received,not_applicable_until_user_contacts,medium,template,確認想收到的守護者素材，回覆預計製作方向與安全邊界。,累積同守護者重複需求後，排進 asset-build-backlog 的 build_owned_asset。,,,No user data. Replace this template row only after a real request arrives.
template-claire-luna_scene_request,,contact_or_waitlist,,"Copy from Contact email Campaign content / 推廣內容. Valid examples: claire_ask_help, claire_promises, claire_tired",claire,克萊兒,luna_scene_request,Luna bedtime / conflict cooldown / quiz aftercare pack,https://lovetypes.tw/luna-yoga-music/#luna-claire,luna_pack_clicks,"If utm_content matches attribution-reconciliation.csv, increment this field on the matching kpi-tracker.csv row; otherwise record as manual lead and do not choose a winning script.",not_received,not_applicable_until_user_contacts,medium,template,確認使用情境，不承諾療效，只提供夜間整理或冷卻素材方向。,若同守護者 Luna 需求重複，才測試結果後柔性商品承接。,,,No user data. Replace this template row only after a real request arrives.
template-claire-repair_or_contact_request,,contact_or_waitlist,,"Copy from Contact email Campaign content / 推廣內容. Valid examples: claire_ask_help, claire_promises, claire_tired",claire,克萊兒,repair_or_contact_request,relationship repair prompt / supply route guidance,https://lovetypes.tw/contact/#luna-supply-request,contact_requests,"If utm_content matches attribution-reconciliation.csv, increment this field on the matching kpi-tracker.csv row; otherwise record as manual lead and do not choose a winning script.",not_received,not_applicable_until_user_contacts,high,template,回覆可提供的網站路線與自助素材，不收集敏感個資，不取代諮商。,整理成 FAQ、修復計畫或 Contact 模板，不把個案內容公開。,,,No user data. Replace this template row only after a real request arrives.
template-dora-owned_asset_request,,contact_or_waitlist,,"Copy from Contact email Campaign content / 推廣內容. Valid examples: dora_after_conflict, dora_consent, dora_distance",dora,朵拉,owned_asset_request,guardian PDF / wallpaper / short ritual,https://lovetypes.tw/keepsakes/#keepsake-dora,supply_lead_requests,"If utm_content matches attribution-reconciliation.csv, increment this field on the matching kpi-tracker.csv row; otherwise record as manual lead and do not choose a winning script.",not_received,not_applicable_until_user_contacts,medium,template,確認想收到的守護者素材，回覆預計製作方向與安全邊界。,累積同守護者重複需求後，排進 asset-build-backlog 的 build_owned_asset。,,,No user data. Replace this template row only after a real request arrives.
template-dora-luna_scene_request,,contact_or_waitlist,,"Copy from Contact email Campaign content / 推廣內容. Valid examples: dora_after_conflict, dora_consent, dora_distance",dora,朵拉,luna_scene_request,Luna bedtime / conflict cooldown / quiz aftercare pack,https://lovetypes.tw/luna-yoga-music/#luna-dora,luna_pack_clicks,"If utm_content matches attribution-reconciliation.csv, increment this field on the matching kpi-tracker.csv row; otherwise record as manual lead and do not choose a winning script.",not_received,not_applicable_until_user_contacts,medium,template,確認使用情境，不承諾療效，只提供夜間整理或冷卻素材方向。,若同守護者 Luna 需求重複，才測試結果後柔性商品承接。,,,No user data. Replace this template row only after a real request arrives.
template-dora-repair_or_contact_request,,contact_or_waitlist,,"Copy from Contact email Campaign content / 推廣內容. Valid examples: dora_after_conflict, dora_consent, dora_distance",dora,朵拉,repair_or_contact_request,relationship repair prompt / supply route guidance,https://lovetypes.tw/contact/#luna-supply-request,contact_requests,"If utm_content matches attribution-reconciliation.csv, increment this field on the matching kpi-tracker.csv row; otherwise record as manual lead and do not choose a winning script.",not_received,not_applicable_until_user_contacts,high,template,回覆可提供的網站路線與自助素材，不收集敏感個資，不取代諮商。,整理成 FAQ、修復計畫或 Contact 模板，不把個案內容公開。,,,No user data. Replace this template row only after a real request arrives.
