step_id,phase,status,current_value,required_value,owner_action,evidence_required,command,stop_condition
profile_action_sheet_ready,profile_setup,complete,1,1,Use the platform-specific Bio/Profile link copy from the action sheet.,"Action sheet has active platforms, valid /start/ UTM links, and no issues.",python3 tools/promotion_profile_setup_action_sheet.py --check,"Stop if any Bio adds paid, diagnosis, therapy, or guarantee claims."
profile_setup_handoff_ready,profile_setup,complete,1,1,Use the consolidated profile setup handoff pack before touching platform profiles.,"profile-setup-handoff-pack has active ready_to_configure rows, or profile setup is already configured with traceable proof.",python3 tools/promotion_profile_setup_handoff_pack.py --check,"Stop if any platform lacks a public-ready profile link, proof template, or identity check."
profile_writeback_complete,profile_writeback,complete,1,1,"After setting each public profile link, write back status set/live with a proof note.","platform-profile-tracker.csv has status set/live, set date, and traceable proof for all platforms.",python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts.txt,"Do not write set/live without screenshot, clicked public link, or platform timestamp evidence."
profile_evidence_complete,profile_writeback,complete,2,2,Confirm every completed profile row has proof in the evidence ledger.,Evidence ledger traceable count equals required count and evidence issues are zero.,python3 tools/promotion_evidence_ledger.py --check,"Stop if proof note is vague, missing, or not tied to a platform/date."
ops_refresh_after_profile,handoff,complete,1,1,Refresh promotion docs after profile writeback before opening publication.,Profile completion gate packetsInSync is true.,python3 tools/promotion_daily_ops_refresh.py,Do not publish from stale action sheets after tracker writeback.
launch_readiness_open,handoff,complete,1,1,Confirm launch readiness opens first-batch publishing.,launch-readiness-gate.json readiness.readyToPublishPosts is true.,python3 tools/promotion_launch_readiness_gate.py --check,"Stop if profile links are incomplete, campaign UTM is invalid, or assets are not ready."
first_batch_action_sheet_ready,publish,complete,1,1,Publish only the first batch rows that become ready after the profile gate opens.,"First-batch publish action sheet has active ready rows, or the first-batch publication packet proves the row is already published.",python3 tools/promotion_first_batch_publish_action_sheet.py --check,Do not publish if any row remains blocked_until_profile_links.
publish_readiness_guarded,publish,complete,2,2,Confirm first-batch assets are ready and placeholder proof templates are still safely rejected.,first-batch-publish-readiness-pack has active asset-ready rows and safely rejected proof templates.,python3 tools/promotion_first_batch_publish_readiness_pack.py --check,Do not publish if proof templates become importable before real public post URLs exist.
post_proof_handoff_guarded,post_proof,complete,2,2,Keep post proof handoff files ready for real URLs while rejecting placeholders.,post-proof-handoff-pack has active proof files and safely rejected templates.,python3 tools/promotion_post_proof_handoff_pack.py --check,Do not run writeback until the proof check becomes ready_to_import with real platform URLs.
single_current_blocker_visible,stage_control,complete,1,1,Keep the stage matrix exposing exactly one current blocker before advancing.,stage-transition-matrix has one current_blocker and no issues.,python3 tools/promotion_stage_transition_matrix.py --check,Stop if multiple current blockers appear or if later stages become next before profile handoff.
